visible_world,position,can_shoot,holding_flag,action,direction
"[['x', 'x', 'x', 'x', 'x', '/', '/', 'x', '/'], ['#', 'x', 'x', 'x', 'x', '#', 'x', '/', '#'], ['x', 'x', 'b', 'x', 'x', 'x', '#', 'x', 'x'], ['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['x', 'x', '{', 'x', 'b', 'x', '#', '/', '/'], ['/', '#', 'x', 'x', 'x', '#', '#', '/', '/'], ['/', 'x', 'b', 'x', 'x', 'x', '/', '/', '/'], ['#', 'x', 'x', '#', '#', 'x', '/', '/', '/'], ['x', 'x', '/', '/', '/', 'x', 'x', '/', '/']]","(5, 15)",True,,shoot,right
"[['x', 'x', 'x', 'x', 'x', '/', '/', 'x', '/'], ['#', 'x', 'x', 'x', 'x', '#', 'x', '/', '#'], ['x', 'x', 'x', 'x', 'x', 'x', '#', 'x', 'x'], ['x', 'x', 'b', 'x', 'x', 'x', 'x', 'x', '/'], ['x', 'x', '{', 'x', 'b', 'x', '#', '/', '/'], ['/', '#', 'x', 'x', 'x', '#', '#', '/', '/'], ['/', 'x', 'x', 'x', 'x', 'x', '/', '/', '/'], ['#', 'x', 'b', '#', '#', 'x', '/', '/', '/'], ['x', 'x', '/', '/', '/', 'x', 'x', '/', '/']]","(5, 15)",False,,move,down
"[['#', 'x', 'x', 'x', 'x', '#', 'x', '/', '#'], ['x', 'x', 'x', 'x', 'x', 'x', '#', 'x', '/'], ['x', 'x', 'b', 'x', 'x', 'x', 'x', '/', '/'], ['x', 'x', '{', 'x', 'x', 'x', '/', '/', '/'], ['/', '#', 'x', 'x', 'b', '#', '/', '/', '/'], ['#', 'x', 'x', 'x', 'x', 'x', '/', '/', '/'], ['#', 'x', 'b', '#', '#', 'x', 'x', 'x', '/'], ['x', 'x', '/', '/', '/', 'x', 'x', '#', 'x'], ['#', '/', '/', '/', '/', '/', 'x', '#', '/']]","(5, 16)",False,,move,right
"[['#', 'x', 'x', 'x', 'x', '#', 'x', '/', '#'], ['x', 'x', 'b', 'x', 'x', 'x', '#', 'x', '/'], ['x', 'x', '.', 'x', 'x', 'x', 'x', '/', '/'], ['x', 'x', '{', 'x', 'x', 'x', '/', '/', '/'], ['/', '#', 'x', 'x', 'b', '#', '/', '/', '/'], ['#', 'x', 'x', 'x', 'x', 'x', '/', '/', '/'], ['#', 'x', 'b', '#', '#', 'x', 'x', 'x', '/'], ['x', 'x', '/', '/', '/', 'x', 'x', '#', 'x'], ['#', '/', '/', '/', '/', '/', 'x', '#', '/']]","(5, 16)",False,,move,right
"[['#', 'x', 'x', 'x', 'x', '#', 'x', '/', '#'], ['x', 'b', 'x', 'x', 'x', 'x', '#', 'x', '/'], ['x', 'x', 'x', 'x', 'x', 'x', 'x', '/', '/'], ['x', 'x', '{', 'x', 'x', 'x', '/', '/', '/'], ['/', '#', 'x', 'x', 'b', '#', '/', '/', '/'], ['#', 'x', 'x', 'x', 'x', 'x', '/', '/', '/'], ['#', 'x', 'x', '#', '#', 'x', 'x', 'x', '/'], ['x', 'x', '/', '/', '/', 'x', 'x', '#', 'x'], ['#', '/', '/', '/', '/', '/', 'x', '#', '/']]","(5, 16)",True,,move,right
"[['#', 'x', 'x', 'x', 'x', '#', 'x', '/', '#'], ['x', 'x', 'b', 'x', 'x', 'x', '#', 'x', '/'], ['x', 'x', 'x', 'x', 'x', 'x', 'x', '/', '/'], ['x', 'x', '{', 'x', 'x', 'x', '/', '/', '/'], ['/', '#', 'x', 'x', 'b', '#', '/', '/', '/'], ['#', 'x', 'x', 'x', 'x', 'x', '/', '/', '/'], ['#', 'x', 'x', '#', '#', 'x', 'x', 'x', '/'], ['x', 'x', '/', '/', '/', 'x', 'x', '#', 'x'], ['#', '/', '/', '/', '/', '/', 'x', '#', '/']]","(5, 16)",True,,move,left
"[['#', '#', 'x', 'x', 'x', 'x', '#', 'x', '/'], ['#', 'x', 'x', 'x', 'b', 'x', 'x', '#', 'x'], ['#', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['/', 'x', 'x', '{', 'x', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'b', 'x', '#', '/', '/'], ['/', '#', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['/', '#', 'x', 'x', '#', '#', 'x', 'x', 'x'], ['/', 'x', 'x', 'x', '/', '/', '/', 'x', '#'], ['#', '#', '#', '/', '/', '/', '/', '/', '#']]","(4, 16)",True,,shoot,left
"[['#', '#', 'x', 'x', 'x', 'x', '#', 'x', '/'], ['#', 'x', 'x', 'x', 'b', 'x', 'x', '#', 'x'], ['#', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '/'], ['/', 'x', 'x', '{', 'x', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'b', 'x', '#', '/', '/'], ['/', '#', 'x', 'x', '.', 'x', 'x', 'x', '/'], ['/', '#', 'x', 'x', '#', '#', 'x', 'x', 'x'], ['/', 'x', 'x', 'x', '/', '/', '/', 'x', '#'], ['#', '#', '#', '/', '/', '/', '/', '/', '#']]","(4, 16)",False,,move,left
"[['/', '#', '#', 'x', 'x', 'b', 'x', '#', 'x'], ['/', '#', 'x', 'x', 'x', 'x', 'x', 'x', '#'], ['/', '#', 'x', 'x', 'x', 'x', 'x', 'x', 'x'], ['/', '/', '/', 'x', '{', 'x', 'x', 'x', '#'], ['/', '/', '/', '#', 'b', 'x', 'x', '#', '/'], ['/', '/', '/', 'x', 'x', 'x', 'x', 'x', 'x'], ['/', '#', '#', 'x', 'x', '#', '#', 'x', 'x'], ['/', '/', 'x', 'x', 'x', '/', '/', '/', 'x'], ['/', '#', '#', '#', 'b', 'x', '/', '/', '/']]","(3, 16)",False,,move,down
"[['/', '/', 'x', 'x', 'x', 'x', 'x', 'x', '#'], ['/', '/', '/', 'x', 'x', 'x', 'x', 'x', 'x'], ['/', '/', '/', 'x', '{', 'x', 'x', 'x', '/'], ['/', '#', 'x', '#', 'x', 'x', 'x', '#', '/'], ['/', '/', '#', 'x', 'b', 'x', 'x', 'x', 'x'], ['/', '/', '#', 'x', 'x', '#', '#', '/', 'x'], ['/', '/', 'x', 'x', 'x', '#', '/', '/', '/'], ['/', '#', '#', '#', 'b', '/', '/', '/', '/'], ['/', '/', '/', '/', '#', 'x', '/', '/', '/']]","(3, 17)",False,,move,right
